left_factor,right_factor,scope,relation,same_family,flagged_by_development,high_correlation_periods,high_correlation_period_count,suggested_action,correlation_development,abs_correlation_development,correlation_selection,abs_correlation_selection,correlation_observation,abs_correlation_observation
market_trend_60d,market_vol_percentile,context,same_raw_sources,True,False,,0,keep,-0.023537474055795,0.023537474055795,-0.16686391174580956,0.16686391174580956,-0.5740332486252582,0.5740332486252582
ret_3d,volatility_10d,sector,same_raw_sources,False,False,,0,keep,0.021366494899786672,0.021366494899786672,0.018261666633260183,0.018261666633260183,0.04518001337603966,0.04518001337603966
ret_5d,volatility_20d,sector,same_raw_sources,False,False,,0,keep,0.01949409436814033,0.01949409436814033,0.022012580979587526,0.022012580979587526,0.036342835024621815,0.036342835024621815
drawdown_60d,range_1d,sector,empirical_only,True,False,,0,keep,-0.018364177222313455,0.018364177222313455,-0.01779814455079088,0.01779814455079088,0.020769665329680657,0.020769665329680657
volatility_20d,turnover_z_20d,sector,empirical_only,False,False,,0,keep,-0.018159786358339335,0.018159786358339335,-0.03783207124823158,0.03783207124823158,0.008224854573613381,0.008224854573613381
ret_1d,ma_gap_10_60,sector,same_raw_sources,True,False,,0,keep,0.018149480470044374,0.018149480470044374,0.008871098950944685,0.008871098950944685,0.0304788352557381,0.0304788352557381
volatility_10d,close_pos_20d,sector,overlapping_raw_sources,False,False,,0,keep,0.017760710662350354,0.017760710662350354,0.038060891250427435,0.038060891250427435,0.08241032446353527,0.08241032446353527
market_breadth_60d,market_dispersion_20d,context,same_raw_sources,True,False,,0,keep,-0.012793613325346835,0.012793613325346835,-0.12752083604656175,0.12752083604656175,-0.29326546748601723,0.29326546748601723
volatility_20d,volume_z_20d,sector,empirical_only,False,False,,0,keep,-0.011159351576360855,0.011159351576360855,-0.03304554082930918,0.03304554082930918,0.009077091395816085,0.009077091395816085
ret_1d,volatility_20d,sector,right_derived_from_left,False,False,,0,keep,-0.009309141829777877,0.009309141829777877,-0.006616292693748452,0.006616292693748452,0.010557668665902378,0.010557668665902378
ret_1d,volatility_10d,sector,right_derived_from_left,False,False,,0,keep,-0.004631803787991938,0.004631803787991938,-0.0018549568952907825,0.0018549568952907825,0.013844540131436415,0.013844540131436415
ret_3d,volatility_20d,sector,same_raw_sources,False,False,,0,keep,0.004542132137715258,0.004542132137715258,0.004703797721055017,0.004703797721055017,0.02690319467309798,0.02690319467309798
